Brand name,Price,Rating,Rating count,Review count,Ranking,URL,SKU
ZKTeco,8999,2.2,7,7,19,https://www.amazon.in/ZKTeco-Unlocking-Fingerprint-Pincode-Mechanical/dp/B0BJVKSB64/ref=sr_1_155?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-155,3
ZKTeco,12980,4.0,7,7,20,https://www.amazon.in/ZKTeco-Fingerprint-Keypad-Bluetooth-Assistant/dp/B09GPH4VLR/ref=sr_1_156?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-156,3
Qubo,12980,0.0,0,0,21,https://www.amazon.in/Qubo-Smart-Ultra-Gateway-Combo/dp/B0CH1DKWPV/ref=sr_1_157?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-157,2
NEXMOT,6999,5.0,2,2,22,https://www.amazon.in/NEXMOT-Ultra-Fingerprint-Bluetooth-NX/dp/B0CZXKTNYL/ref=sr_1_158?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-158,1
Ozone,18360,2.9,2,2,23,https://www.amazon.in/Ozone-Assistant-Enabled-Fingerprint-Blutooth/dp/B084N4PRXV/ref=sr_1_159?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-159,1
AllExtreme,2143,3.6,20,20,24,https://www.amazon.in/AllExtreme-Fingerprint-Waterproof-Anti-Theft-Motorcycles/dp/B09QKN73DF/ref=sr_1_160?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-160,1
Electronic,2989,0.0,0,0,25,https://www.amazon.in/Electronic-Charging-Password-Cupboards-Wardrobe/dp/B09KBB61SW/ref=sr_1_161?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-161,1
HAWKVISION,8999,0.0,0,0,26,https://www.amazon.in/HAWKVISION-Fingerprint-Digital-Unlocking-Fingerpribnt/dp/B0CR9TRRVN/ref=sr_1_162?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-162,1
Putmax,4499,3.5,53,53,27,https://www.amazon.in/Putmax-Fingerprint-Biometric-Reversible-Apartment/dp/B09VG77BMJ/ref=sr_1_163?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-163,1
Godrej,10239,3.9,8,8,28,https://www.amazon.in/Godrej-Digital-Fingerprint-Mechanical-Function/dp/B0CM98998Z/ref=sr_1_164?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-164,2
